Anno,Medal,count
1900,Gold,1
1904,Gold,2
1948,Silver,2
1964,Silver,1
1968,Silver,4
1972,Bronze,4
1972,Gold,3
1972,Silver,1
1976,Bronze,3
1976,Gold,6
1976,Silver,4
1980,Bronze,5
1980,Gold,8
1980,Silver,7
1992,Bronze,11
1992,Gold,14
1992,Silver,6
1996,Bronze,8
1996,Gold,9
1996,Silver,8
2000,Bronze,7
2000,Gold,11
2000,Silver,11
2004,Bronze,11
2004,Gold,9
2004,Silver,7
2008,Bronze,17
2008,Gold,3
2008,Silver,10
2012,Bronze,7
2012,Gold,5
2012,Silver,3
2016,Bronze,4
2016,Gold,5
2016,Silver,2
2020,Bronze,5
2020,Gold,7
2020,Silver,3
